transaction_id,merchant_id,merchant_name,customer_id,customer_name,customer_email,amount,currency,payment_method,card_network,card_last4,status,error_code,error_message,created_at,captured_at
TXN_1029,MER_001,QuickBites Restaurant,CUST_8842,Customer 1,cust1@example.com,13000,INR,card,VISA,1995,captured,,,2026-09-01 08:02:00,2026-09-01 08:02:47
TXN_1012,MER_002,GreenLeaf Pharmacy,CUST_8321,Customer 2,cust2@example.com,15000,INR,wallet,,,captured,,,2026-09-01 08:04:00,2026-09-01 08:04:40
TXN_5001,MER_003,ApexRetail,CUST_1612,Customer 3,cust3@example.com,5000,INR,upi,,,captured,,,2026-09-01 08:06:00,2026-09-01 08:06:50
TXN_10004,MER_001,QuickBites Restaurant,CUST_9381,Customer 4,cust4@example.com,19199.08,INR,upi,,,captured,,,2026-09-01 08:08:00,2026-09-01 08:08:47
TXN_10005,MER_004,TechCorp Inc,CUST_6467,Customer 5,cust5@example.com,17298.85,INR,card,MASTERCARD,7102,captured,,,2026-09-01 08:10:00,2026-09-01 08:10:32
TXN_10006,MER_002,GreenLeaf Pharmacy,CUST_9811,Customer 6,cust6@example.com,8245.84,INR,wallet,,,captured,,,2026-09-01 08:12:00,2026-09-01 08:12:34
TXN_10007,MER_002,GreenLeaf Pharmacy,CUST_5992,Customer 7,cust7@example.com,742.74,INR,netbanking,,,captured,,,2026-09-01 08:14:00,2026-09-01 08:14:36
TXN_10008,MER_003,ApexRetail,CUST_4979,Customer 8,cust8@example.com,4640.77,INR,card,RUPAY,4722,captured,,,2026-09-01 08:16:00,2026-09-01 08:16:17
TXN_10009,MER_004,TechCorp Inc,CUST_4068,Customer 9,cust9@example.com,14054.09,INR,wallet,,,captured,,,2026-09-01 08:18:00,2026-09-01 08:18:29
TXN_10010,MER_003,ApexRetail,CUST_2450,Customer 10,cust10@example.com,13377.39,INR,upi,,,failed,ERR_01,Insufficient Funds,2026-09-01 08:20:00,
TXN_10011,MER_001,QuickBites Restaurant,CUST_9961,Customer 11,cust11@example.com,14568.1,INR,card,VISA,1446,captured,,,2026-09-01 08:22:00,2026-09-01 08:22:35
TXN_10012,MER_004,TechCorp Inc,CUST_7441,Customer 12,cust12@example.com,6230.97,INR,upi,,,captured,,,2026-09-01 08:24:00,2026-09-01 08:24:35
TXN_10013,MER_005,FakeCompany,CUST_3757,Customer 13,cust13@example.com,1489.26,INR,wallet,,,captured,,,2026-09-01 08:26:00,2026-09-01 08:26:31
TXN_10014,MER_003,ApexRetail,CUST_8861,Customer 14,cust14@example.com,20032.08,INR,upi,,,failed,ERR_01,Insufficient Funds,2026-09-01 08:28:00,
TXN_10015,MER_002,GreenLeaf Pharmacy,CUST_2144,Customer 15,cust15@example.com,16801.59,INR,wallet,,,captured,,,2026-09-01 08:30:00,2026-09-01 08:30:32
TXN_10016,MER_004,TechCorp Inc,CUST_6594,Customer 16,cust16@example.com,10852.04,INR,upi,,,captured,,,2026-09-01 08:32:00,2026-09-01 08:32:23
TXN_10017,MER_004,TechCorp Inc,CUST_4943,Customer 17,cust17@example.com,22341.96,INR,wallet,,,captured,,,2026-09-01 08:34:00,2026-09-01 08:34:21
TXN_10018,MER_003,ApexRetail,CUST_4403,Customer 18,cust18@example.com,13720.17,INR,netbanking,,,captured,,,2026-09-01 08:36:00,2026-09-01 08:36:54
TXN_10019,MER_002,GreenLeaf Pharmacy,CUST_1057,Customer 19,cust19@example.com,10209.24,INR,netbanking,,,captured,,,2026-09-01 08:38:00,2026-09-01 08:38:42
